Product_Name,Discounted_Price,Discount,Original_Price,Rating,No_of_ratings,itemURL
"SHRILALMAHAL Fitness Brown Basmati Rice (Weight Loss Special), (4 Kg : 4 x 1 Kg Jars) | Low Glycemic Index | Gluten Free | Immunity Booster",559,20%,₹700,3.9,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg2_1?ie=UTF8&adId=A07527491I4A4JEBHYATH&url=%2FSHRILALMAHAL-Fitness-Basmati-Weight-Special%2Fdp%2FB07DXZX8FR%2Fref%3Dsr_1_25_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-25-spons%26psc%3D1&qualifier=1591153668&id=7419645237651369&widgetName=sp_atf_browse
"NutroActive BrownXatta, HIGH Protein & Low Carb Keto Friendly Flour 850 gm",312,4%,₹324,3.8,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg2_2?ie=UTF8&adId=A01572809A9YCMV2SC8Z&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB06XQMG23M%2Fref%3Dsr_1_26_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-26-spons%26psc%3D1&qualifier=1591153668&id=7419645237651369&widgetName=sp_atf_browse
NutroActive BrownXatta High Protein & Low Carb Keto Friendly Flour - 9 Kg (Family Pack),2098,17%,"₹2,520",3.7,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg2_3?ie=UTF8&adId=A06901593JG6DRJFNJL2V&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB07FYNC42F%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-27-spons%26psc%3D1&qualifier=1591153668&id=7419645237651369&widgetName=sp_atf_browse
Toor Dal Economy 1Kg,102,15%,₹120,4.1,66,https://www.amazon.in/ASOP-Toor-Dal-Economy-1Kg/dp/B0851STWDX/ref=sr_1_28?dchild=1&qid=1591099869&s=pantry&sr=1-28
"Amazon Brand - Vedaka Popular Chana Dal, 1 kg",85,29%,₹120,4.3,100,https://www.amazon.in/Amazon-Brand-Vedaka-Popular-Chana/dp/B081QWFXKG/ref=sr_1_29?dchild=1&qid=1591099869&s=pantry&sr=1-29
"Aashirvaad Svasti Ghee, 1L",535,0%,,4.4,1045,https://www.amazon.in/Aashirvaad-Svasti-Ghee-1L/dp/B076LY7BRN/ref=sr_1_30?dchild=1&qid=1591099869&s=pantry&sr=1-30
"Daawat Rozana Gold Basmati Rice, 5kg",374,16%,₹446,3.8,649,https://www.amazon.in/Daawat-Rozana-Gold-Basmati-Rice/dp/B01H5MBCDY/ref=sr_1_31?dchild=1&qid=1591099869&s=pantry&sr=1-31
"Daawat Super Basmati, 1kg with 25% Extra",139,13%,₹160,4.2,770,https://www.amazon.in/Daawat-Super-Basmati-1kg-Extra/dp/B01IPARDJM/ref=sr_1_32?dchild=1&qid=1591099869&s=pantry&sr=1-32
"Amazon Brand - Vedaka Premium Toor Dal, 1kg",118,16%,₹140,4.2,1183,https://www.amazon.in/Amazon-Brand-Vedaka-Premium-Arhar/dp/B079NR7HVG/ref=sr_1_33?dchild=1&qid=1591099869&s=pantry&sr=1-33
"Tata Sampann Unpolished Toor Dal/Arhar Dal, 1kg",149,0%,,4.5,692,https://www.amazon.in/Tata-Sampann-Pulses-Toor-Dal/dp/B074N7VHV4/ref=sr_1_34?dchild=1&qid=1591099869&s=grocery&sr=1-34
Kabuli Chana Economy 1Kg,81,10%,₹90,3.9,97,https://www.amazon.in/ASOP-Kabuli-Chana-Economy-1Kg/dp/B0851T6VQ3/ref=sr_1_35?dchild=1&qid=1591099869&s=pantry&sr=1-35
"Fortune Chakki Fresh Atta, 5kg",199,26%,₹270,4,221,https://www.amazon.in/Fortune-Chakki-Fresh-Atta-5kg/dp/B07VHDS3T3/ref=sr_1_36?dchild=1&qid=1591099869&s=pantry&sr=1-36
"Amazon Brand - Vedaka Popular Green Moong Split / Chilka, 500g",65,0%,,4.3,688,https://www.amazon.in/Amazon-Brand-Vedaka-Popular-Chilka/dp/B079NB81QL/ref=sr_1_37?dchild=1&qid=1591099869&s=pantry&sr=1-37
"Fortune Everyday Basmati Rice, 1kg",76,49%,₹149,4.1,575,https://www.amazon.in/Fortune-Everyday-Basmati-Rice-1kg/dp/B01H5L5TA2/ref=sr_1_38?dchild=1&qid=1591099869&s=pantry&sr=1-38
"Amazon Brand - Vedaka Premium Toor Dal, 1kg",118,16%,₹140,4.2,36,https://www.amazon.in/Amazon-Brand-Vedaka-Premium-Toor/dp/B081QWP5W7/ref=sr_1_39?dchild=1&qid=1591099869&s=pantry&sr=1-39
