Product_Name,Discounted_Price,Discount,Original_Price,Rating,No_of_ratings,itemURL,Platform
"SHRILALMAHAL Fitness Brown Basmati Rice (Weight Loss Special), (4 Kg : 4 x 1 Kg Jars) | Low Glycemic Index | Gluten Free | Immunity Booster",559.0,20.0,700.0,3.9,0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg2_1?ie=UTF8&adId=A07527491I4A4JEBHYATH&url=%2FSHRILALMAHAL-Fitness-Basmati-Weight-Special%2Fdp%2FB07DXZX8FR%2Fref%3Dsr_1_25_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-25-spons%26psc%3D1&qualifier=1591153668&id=7419645237651369&widgetName=sp_atf_browse,Amazon
"NutroActive BrownXatta, HIGH Protein & Low Carb Keto Friendly Flour 850 gm",312.0,4.0,324.0,3.8,0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg2_2?ie=UTF8&adId=A01572809A9YCMV2SC8Z&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB06XQMG23M%2Fref%3Dsr_1_26_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-26-spons%26psc%3D1&qualifier=1591153668&id=7419645237651369&widgetName=sp_atf_browse,Amazon
NutroActive BrownXatta High Protein & Low Carb Keto Friendly Flour - 9 Kg (Family Pack),2098.0,17.0,2520.0,3.7,0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg2_3?ie=UTF8&adId=A06901593JG6DRJFNJL2V&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB07FYNC42F%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-27-spons%26psc%3D1&qualifier=1591153668&id=7419645237651369&widgetName=sp_atf_browse,Amazon
Toor Dal Economy 1Kg,102.0,15.0,120.0,4.1,66,https://www.amazon.in/ASOP-Toor-Dal-Economy-1Kg/dp/B0851STWDX/ref=sr_1_28?dchild=1&qid=1591099869&s=pantry&sr=1-28,Amazon
"Amazon Brand - Vedaka Popular Chana Dal, 1 kg",85.0,29.0,120.0,4.3,100,https://www.amazon.in/Amazon-Brand-Vedaka-Popular-Chana/dp/B081QWFXKG/ref=sr_1_29?dchild=1&qid=1591099869&s=pantry&sr=1-29,Amazon
"Daawat Rozana Gold Basmati Rice, 5kg",374.0,16.0,446.0,3.8,649,https://www.amazon.in/Daawat-Rozana-Gold-Basmati-Rice/dp/B01H5MBCDY/ref=sr_1_31?dchild=1&qid=1591099869&s=pantry&sr=1-31,Amazon
"Daawat Super Basmati, 1kg with 25% Extra",139.0,13.0,160.0,4.2,770,https://www.amazon.in/Daawat-Super-Basmati-1kg-Extra/dp/B01IPARDJM/ref=sr_1_32?dchild=1&qid=1591099869&s=pantry&sr=1-32,Amazon
"Amazon Brand - Vedaka Premium Toor Dal, 1kg",118.0,16.0,140.0,4.2,1183,https://www.amazon.in/Amazon-Brand-Vedaka-Premium-Arhar/dp/B079NR7HVG/ref=sr_1_33?dchild=1&qid=1591099869&s=pantry&sr=1-33,Amazon
Kabuli Chana Economy 1Kg,81.0,10.0,90.0,3.9,97,https://www.amazon.in/ASOP-Kabuli-Chana-Economy-1Kg/dp/B0851T6VQ3/ref=sr_1_35?dchild=1&qid=1591099869&s=pantry&sr=1-35,Amazon
"Fortune Chakki Fresh Atta, 5kg",199.0,26.0,270.0,4.0,221,https://www.amazon.in/Fortune-Chakki-Fresh-Atta-5kg/dp/B07VHDS3T3/ref=sr_1_36?dchild=1&qid=1591099869&s=pantry&sr=1-36,Amazon
"Fortune Everyday Basmati Rice, 1kg",76.0,49.0,149.0,4.1,575,https://www.amazon.in/Fortune-Everyday-Basmati-Rice-1kg/dp/B01H5L5TA2/ref=sr_1_38?dchild=1&qid=1591099869&s=pantry&sr=1-38,Amazon
Earthspired Special Multigrain Flour with Low Glycemic Index Ingredients (1kg),250.0,15.0,295.0,3.4,0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg2_2?ie=UTF8&adId=A08328631GG0WFE6RAK3X&url=%2FEarthspired-Special-Multigrain-Glycemic-Ingredients%2Fdp%2FB01MU3ITN7%2Fref%3Dsr_1_41_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-41-spons%26psc%3D1&qualifier=1591153668&id=7419645237651369&widgetName=sp_mtf_browse,Amazon
"NutroActive BrownXatta Atta, High Protein & Low Carb Keto Friendly Flour - 3.4 Kg",1048.0,4.0,1089.0,3.8,0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg2_3?ie=UTF8&adId=A01571248RAU0GR0T2SU&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB071GYHG8M%2Fref%3Dsr_1_42_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-42-spons%26psc%3D1&qualifier=1591153668&id=7419645237651369&widgetName=sp_mtf_browse,Amazon
"Amazon Brand - Vedaka Popular Kabuli Chana / Chhole, 500g",56.0,49.0,110.0,4.2,2442,https://www.amazon.in/Amazon-Brand-Vedaka-Popular-Kabuli/dp/B079NF7Y5J/ref=sr_1_44?dchild=1&qid=1591099869&s=pantry&sr=1-44,Amazon
"Amazon Brand - Vedaka Premium Black Chana, 1 kg",100.0,29.0,140.0,4.3,668,https://www.amazon.in/Amazon-Brand-Vedaka-Premium-Black/dp/B079NF3YC6/ref=sr_1_45?dchild=1&qid=1591099869&s=pantry&sr=1-45,Amazon
"Amazon Brand - Vedaka Premium Kabuli Chana / Chhole, 1 kg",114.0,53.0,240.0,4.3,960,https://www.amazon.in/Amazon-Brand-Vedaka-Premium-Kabuli/dp/B079NR7HXW/ref=sr_1_46?dchild=1&qid=1591099869&s=pantry&sr=1-46,Amazon
"Amazon Brand - Vedaka Kolam Rice, Raw, 5kg",389.0,14.0,450.0,3.9,149,https://www.amazon.in/Amazon-Brand-Vedaka-Kolam-Rice/dp/B079TD524S/ref=sr_1_47?dchild=1&qid=1591099869&s=pantry&sr=1-47,Amazon
"Kohinoor Super Value Basmati Rice, Blue, 1kg (20% extra)",135.0,16.0,160.0,4.3,577,https://www.amazon.in/Kohinoor-Super-Value-Basmati-1-2kg/dp/B07NQTJ91J/ref=sr_1_48?dchild=1&qid=1591099869&s=pantry&sr=1-48,Amazon
"Kohinoor Authentic Basmati Biryani Kit, Hyderabadi, 327g",91.0,27.0,125.0,4.3,669,https://www.amazon.in/Kohinoor-Authentic-Basmati-Biryani-Hyderabadi/dp/B07H3T8K39/ref=sr_1_49?dchild=1&qid=1591099869&s=pantry&sr=1-49,Amazon
"Kohinoor Super Value Basmati Rice, Blue 5kg",559.0,31.0,810.0,4.2,835,https://www.amazon.in/Kohinoor-Super-Value-Basmati-Rice/dp/B07NQVNZ5K/ref=sr_1_50?dchild=1&qid=1591099869&s=pantry&sr=1-50,Amazon
"24 Mantra Organic, Whole Wheat Atta, 5Kg",246.0,9.0,270.0,3.6,598,https://www.amazon.in/24-Mantra-Organic-Wholewheat-Premium/dp/B01CHV0AGS/ref=sr_1_51?dchild=1&qid=1591099869&s=pantry&sr=1-51,Amazon
