,Product_name,Discount,Discounted_Price,Original_Price,Product_Url,Product_Rating,No_of_ratings,Platform
1,Good Life Toor Dal 1 kg, 21%  , 108.00, 137.00,https://www.jiomart.com/good-life-toor-dal-1-kg-491187264,0, 0,Jiomart
2,Good Life Rice Bran Oil 1 Ltr, 21%  , 99.00, 125.00,https://www.jiomart.com/good-life-rice-bran-oil-1-ltr-491472706,0, 0,Jiomart
3,Good Life Urad Dal 500 g, 12%  , 70.00, 80.00,https://www.jiomart.com/good-life-urad-dal-500-g-491187306,0, 0,Jiomart
4,Good Life Jeerasar Rice 1 kg, 17%  , 49.00, 59.00,https://www.jiomart.com/good-life-jeerasar-rice-1-kg-491185259,0, 0,Jiomart
5,India Gate Basmati Rice Rozana 5 Kg, 22%  , 389.00, 500.00,https://www.jiomart.com/india-gate-basmati-rice-rozana-5-kg-490427669,0, 0,Jiomart
6,Suhana Ambari Mirchi Powder 100 g, 7%  , 39.99, 43.00,https://www.jiomart.com/suhana-ambari-mirchi-powder-100-g-490017818,0, 0,Jiomart
7,Loose Chana Dal 1 kg, 10%  , 61.00, 68.00,https://www.jiomart.com/loose-chana-dal-1-kg-490155015,0, 0,Jiomart
8,Best Farm Maize Popcorn Kernels 500 g, 7%  , 55.80, 60.00,https://www.jiomart.com/best-farm-maize-popcorn-kernels-500-g-491185269,0, 0,Jiomart
9,Fortune Jubilee Regular Long Grain Rice 1 kg, 71%  , 43.00, 150.00,https://www.jiomart.com/fortune-jubilee-regular-long-grain-rice-1-kg-491215475,0, 0,Jiomart
10,Loose Moong Dal 1 kg, 2%  , 130.00, 132.00,https://www.jiomart.com/loose-moong-dal-1-kg-490155010,0, 0,Jiomart
11,Good Life Thick Poha / Aval 500 g, 18%  , 23.00, 28.00,https://www.jiomart.com/good-life-thick-poha-aval-500-g-491185265,0, 0,Jiomart
12,Kohinoor Charminar Rozana Rice 5 Kg, 46%  , 279.00, 515.00,https://www.jiomart.com/kohinoor-charminar-rozana-rice-5-kg-490784891,0, 0,Jiomart
