Product_Name,Brand,Discounted_Price,Discount,Original_Price,Product_Rating,No_of_ratings,Product_URL,Platform
Cadbury Bournvita Health Drink Nutrition Drink,Cadbury,286.0,1.0,290.0,4.5,11923,https://www.flipkart.com/cadbury-bournvita-health-drink-nutrition/p/itmfhf8pfdw8gxb5?pid=ESRFCZVQZRUREGEX&lid=LSTESRFCZVQZRUREGEXSBX0LQ&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=en_dXCr865M0fflGTyXk%2Bd%2BcEm6veCUIC0QLb7lyZDsM5PBhDupDk0UjxWwsOWpaVPy8TCj29BtLUyQ%2BVBw19HcDw%3D%3D&ssid=qyd2kliceo0000001591294950608,Flipkart
Betty Crocker Triple Choco Brownie Mix 425 g,Betty,322.0,2.0,330.0,4.4,294,https://www.flipkart.com/betty-crocker-triple-choco-brownie-mix-425-g/p/itmet9fwknytydxj?pid=RYMET9FWZSB3AZZH&lid=LSTRYMET9FWZSB3AZZHIERCDH&marketplace=FLIPKART&srno=b_1_2&otracker=browse&fm=organic&iid=en_dXCr865M0fflGTyXk%2Bd%2BcEm6veCUIC0QLb7lyZDsM5N2d6E5lBzKrmuPCBsCXzZGQXeK%2FOWxigzT1ZW%2B1fZmPg%3D%3D&ssid=qyd2kliceo0000001591294950608,Flipkart
Madhur Sugar,Madhur Sugar,48.0,12.0,55.0,4.5,17460,https://www.flipkart.com/madhur-sugar/p/itmevjgp3vsgg77p?pid=SUGEUD25B6YCCNGM&lid=LSTSUGEUD25B6YCCNGMMYV1XQ&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.SUGEUD25B6YCCNGM.SEARCH&ssid=qyd2kliceo0000001591294950608,Flipkart
Fortune Sunlite Refined Sunflower Oil Can,Fortune,591.0,13.0,685.0,4.5,1660,https://www.flipkart.com/fortune-sunlite-refined-sunflower-oil-can/p/itmf8phyytkfbuy7?pid=EDOET83F38NQEFYF&lid=LSTEDOET83F38NQEFYFKVX85L&marketplace=FLIPKART&srno=b_1_6&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.EDOET83F38NQEFYF.SEARCH&ssid=qyd2kliceo0000001591294950608,Flipkart
Emami Healthy & Tasty Kachchi Ghani Mustard Oil Plastic...,Emami,133.0,14.0,155.0,4.4,1138,https://www.flipkart.com/emami-healthy-tasty-kachchi-ghani-mustard-oil-plastic-bottle/p/itmffzkg8s4ar9h5?pid=EDOEVT5UBH2YZSNB&lid=LSTEDOEVT5UBH2YZSNBKS0RDB&marketplace=FLIPKART&srno=b_1_7&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.EDOEVT5UBH2YZSNB.SEARCH&ssid=qyd2kliceo0000001591294950608,Flipkart
Parry's White Label Sugar,Parry's,59.0,1.0,60.0,4.4,4625,https://www.flipkart.com/parry-s-white-label-sugar/p/itmeuhhjde4byafk?pid=SUGEUHHJZVQW8N8T&lid=LSTSUGEUHHJZVQW8N8TZICR7V&marketplace=FLIPKART&srno=b_1_8&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.SUGEUHHJZVQW8N8T.SEARCH&ssid=qyd2kliceo0000001591294950608,Flipkart
Tata Sampann Fine Besan,Tata,52.0,18.0,64.0,4.5,1960,https://www.flipkart.com/tata-sampann-fine-besan/p/itmfangyj8cnm3pz?pid=FLRETEFHF5EK5ECT&lid=LSTFLRETEFHF5EK5ECTD3R9DX&marketplace=FLIPKART&srno=b_1_9&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.FLRETEFHF5EK5ECT.SEARCH&ssid=qyd2kliceo0000001591294950608,Flipkart
Flipkart Supermart Select Sooji/Rava,Flipkart,58.0,22.0,75.0,4.4,556,https://www.flipkart.com/flipkart-supermart-select-sooji-rava/p/itm327580eea7121?pid=FLRF4SSGYN9G29GZ&lid=LSTFLRF4SSGYN9G29GZA8M1R1&marketplace=FLIPKART&srno=b_1_10&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.FLRF4SSGYN9G29GZ.SEARCH&ssid=qyd2kliceo0000001591294950608,Flipkart
Fortune Refined Soyabean Oil Pouch,Fortune,116.0,10.0,130.0,4.4,1043,https://www.flipkart.com/fortune-refined-soyabean-oil-pouch/p/itmezefzcpxab2k8?pid=EDOEUHJMAUZG6ZVT&lid=LSTEDOEUHJMAUZG6ZVTPARLNP&marketplace=FLIPKART&srno=b_1_11&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.EDOEUHJMAUZG6ZVT.SEARCH&ssid=qyd2kliceo0000001591294950608,Flipkart
Nandini Pure Cow Ghee 500 ml Pouch,Nandini,244.0,0.0,245.0,4.4,2198,https://www.flipkart.com/nandini-pure-cow-ghee-500-ml-pouch/p/itmfckheyahzhzcv?pid=GHEEUC29CZMR6ZYG&lid=LSTGHEEUC29CZMR6ZYGDEX3ER&marketplace=FLIPKART&srno=b_1_12&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.GHEEUC29CZMR6ZYG.SEARCH&ssid=qyd2kliceo0000001591294950608,Flipkart
