,Product_name,Brand,Discounted_Price,Discount,Original_Price,Ratings,Total_Ratings,Product_URL
1,Cadbury Bournvita Health Drink Nutrition Drink,Cadbury,Rs.286,1%,Rs.290,4.5,"11,923",https://www.flipkart.com/cadbury-bournvita-health-drink-nutrition/p/itmfhf8pfdw8gxb5?pid=ESRFCZVQZRUREGEX&lid=LSTESRFCZVQZRUREGEXSBX0LQ&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=en_dXCr865M0fflGTyXk%2Bd%2BcEm6veCUIC0QLb7lyZDsM5PBhDupDk0UjxWwsOWpaVPy8TCj29BtLUyQ%2BVBw19HcDw%3D%3D&ssid=qyd2kliceo0000001591294950608
2,Betty Crocker Triple Choco Brownie Mix 425 g,Betty,Rs.322,2%,Rs.330,4.4,294,https://www.flipkart.com/betty-crocker-triple-choco-brownie-mix-425-g/p/itmet9fwknytydxj?pid=RYMET9FWZSB3AZZH&lid=LSTRYMET9FWZSB3AZZHIERCDH&marketplace=FLIPKART&srno=b_1_2&otracker=browse&fm=organic&iid=en_dXCr865M0fflGTyXk%2Bd%2BcEm6veCUIC0QLb7lyZDsM5N2d6E5lBzKrmuPCBsCXzZGQXeK%2FOWxigzT1ZW%2B1fZmPg%3D%3D&ssid=qyd2kliceo0000001591294950608
3,Madhur Sugar,Madhur Sugar,Rs.48,12%,Rs.55,4.5,"17,460",https://www.flipkart.com/madhur-sugar/p/itmevjgp3vsgg77p?pid=SUGEUD25B6YCCNGM&lid=LSTSUGEUD25B6YCCNGMMYV1XQ&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.SUGEUD25B6YCCNGM.SEARCH&ssid=qyd2kliceo0000001591294950608
4,Tata Iodized Salt,Tata Iodized,Rs.20,0%,Rs.20,4.6,"7,287",https://www.flipkart.com/tata-iodized-salt/p/itmevbfcjfnsga5j?pid=SATET96PTFPYSQWM&lid=LSTSATET96PTFPYSQWMNU11SX&marketplace=FLIPKART&spotlightTagId=BestsellerId_7jv&srno=b_1_4&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.SATET96PTFPYSQWM.SEARCH&ssid=qyd2kliceo0000001591294950608
5,Roxy Gold Maida,Roxy Gold,Rs.55,0%,Rs.55,4.4,"1,828",https://www.flipkart.com/roxy-gold-maida/p/itmeu6z64gpmvdeg?pid=FLREU6Z6FRMHXXGH&lid=LSTFLREU6Z6FRMHXXGH7CMZTW&marketplace=FLIPKART&srno=b_1_5&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.FLREU6Z6FRMHXXGH.SEARCH&ssid=qyd2kliceo0000001591294950608
6,Fortune Sunlite Refined Sunflower Oil Can,Fortune,Rs.591,13%,Rs.685,4.5,"1,660",https://www.flipkart.com/fortune-sunlite-refined-sunflower-oil-can/p/itmf8phyytkfbuy7?pid=EDOET83F38NQEFYF&lid=LSTEDOET83F38NQEFYFKVX85L&marketplace=FLIPKART&srno=b_1_6&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.EDOET83F38NQEFYF.SEARCH&ssid=qyd2kliceo0000001591294950608
7,Emami Healthy & Tasty Kachchi Ghani Mustard Oil Plastic...,Emami,Rs.133,14%,Rs.155,4.4,"1,138",https://www.flipkart.com/emami-healthy-tasty-kachchi-ghani-mustard-oil-plastic-bottle/p/itmffzkg8s4ar9h5?pid=EDOEVT5UBH2YZSNB&lid=LSTEDOEVT5UBH2YZSNBKS0RDB&marketplace=FLIPKART&srno=b_1_7&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.EDOEVT5UBH2YZSNB.SEARCH&ssid=qyd2kliceo0000001591294950608
8,Parry's White Label Sugar,Parry's,Rs.59,1%,Rs.60,4.4,"4,625",https://www.flipkart.com/parry-s-white-label-sugar/p/itmeuhhjde4byafk?pid=SUGEUHHJZVQW8N8T&lid=LSTSUGEUHHJZVQW8N8TZICR7V&marketplace=FLIPKART&srno=b_1_8&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.SUGEUHHJZVQW8N8T.SEARCH&ssid=qyd2kliceo0000001591294950608
9,Tata Sampann Fine Besan,Tata,Rs.52,18%,Rs.64,4.5,"1,960",https://www.flipkart.com/tata-sampann-fine-besan/p/itmfangyj8cnm3pz?pid=FLRETEFHF5EK5ECT&lid=LSTFLRETEFHF5EK5ECTD3R9DX&marketplace=FLIPKART&srno=b_1_9&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.FLRETEFHF5EK5ECT.SEARCH&ssid=qyd2kliceo0000001591294950608
10,Flipkart Supermart Select Sooji/Rava,Flipkart,Rs.58,22%,Rs.75,4.4,556,https://www.flipkart.com/flipkart-supermart-select-sooji-rava/p/itm327580eea7121?pid=FLRF4SSGYN9G29GZ&lid=LSTFLRF4SSGYN9G29GZA8M1R1&marketplace=FLIPKART&srno=b_1_10&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.FLRF4SSGYN9G29GZ.SEARCH&ssid=qyd2kliceo0000001591294950608
